Date,Open,High,Low,Close,Adj Close,Volume
2004-02-01,85.220001,86.739998,85.000000,86.680000,54.143299,3032300
2004-03-01,86.650002,88.550003,85.699997,87.550003,54.850189,6808200
2004-04-01,87.220001,87.250000,83.110001,83.500000,52.464756,5043200
2004-05-01,83.160004,83.650002,81.309998,82.790001,52.171230,4531600
2004-06-01,82.260002,83.110001,81.250000,83.050003,52.503536,3883800
2004-07-01,82.769997,84.339996,82.570000,83.779999,53.144157,2322200
2004-08-01,83.760002,85.989998,83.519997,85.870003,54.649555,2578800
2004-09-01,85.699997,86.750000,84.660004,85.879997,54.834629,3149700
2004-10-01,85.349998,86.870003,84.830002,86.470001,55.382900,3089400
2004-11-01,86.059998,86.169998,84.400002,84.500000,54.283600,6391300
2004-12-01,84.459999,86.089996,83.879997,84.949997,54.740448,6045000
2005-01-01,84.919998,85.730003,84.580002,85.690002,55.565941,6055400
2005-02-01,85.419998,86.349998,84.150002,84.260002,54.638657,3788000
2005-03-01,83.980003,84.500000,82.580002,83.690002,54.434811,6449500
2005-04-01,83.690002,85.879997,83.080002,85.510002,55.771492,3547200
2005-05-01,85.309998,86.809998,84.949997,86.809998,56.808792,3898700
2005-06-01,86.709999,87.489998,85.699997,86.959999,57.085148,6571600
2005-07-01,86.489998,86.540001,84.730003,84.800003,55.837063,4224600
2005-08-01,84.459999,86.250000,83.709999,86.220001,56.944931,5057500
2005-09-01,85.900002,86.199997,84.389999,84.440002,55.948105,2731800
2005-10-01,84.160004,84.339996,82.879997,83.120003,55.249046,3766200
2005-11-01,82.900002,83.930000,82.150002,83.349998,55.584305,2747600
2005-12-01,83.099998,84.330002,82.599998,83.910004,56.152309,5286600
2006-01-01,83.690002,84.339996,83.110001,83.320000,56.141842,2860700
2006-02-01,83.000000,83.099998,82.410004,82.970001,55.905998,3142200
2006-03-01,82.639999,82.730003,81.349998,81.580002,55.144138,3770700
2006-04-01,81.089996,81.480003,80.339996,80.809998,54.799995,2986700
2006-05-01,80.279999,81.010002,79.809998,80.430000,54.716694,3090600
2006-06-01,80.070000,81.150002,79.680000,80.320000,54.841377,3516100
2006-07-01,80.029999,81.349998,79.580002,81.349998,55.748428,5422400
2006-08-01,80.949997,82.550003,80.860001,82.459999,56.729435,3760100
2006-09-01,82.150002,83.570000,81.720001,83.139999,57.422455,3762100
2006-10-01,82.800003,83.339996,81.800003,83.269997,57.730701,8524200
2006-11-01,83.040001,84.070000,82.300003,84.050003,58.493813,5981200
2006-12-01,83.720001,84.080002,82.300003,82.440002,57.586266,5561700
2007-01-01,82.709999,82.980003,81.650002,82.110001,57.729946,5421600
2007-02-01,82.010002,84.070000,81.699997,83.480003,58.693222,4324500
2007-03-01,83.570000,83.930000,82.949997,83.089996,58.641109,5828300
2007-04-01,82.949997,83.300003,82.279999,83.269997,58.962364,5240100
2007-05-01,83.040001,83.129997,81.639999,81.800003,58.146839,4019800
2007-06-01,81.309998,81.330002,79.519997,81.089996,57.860317,7057300
2007-07-01,80.760002,82.620003,79.930000,82.599998,59.175747,6485200
2007-08-01,82.169998,84.419998,81.610001,84.139999,60.512623,9529600
2007-09-01,83.839996,85.230003,83.010002,83.879997,60.561726,6749500
2007-10-01,83.629997,85.339996,82.839996,84.470001,61.230728,7159200
2007-11-01,84.339996,88.250000,84.339996,87.580002,63.720600,6967200
2007-12-01,88.050003,88.050003,85.589996,87.010002,63.529263,5759000
2008-01-01,86.989998,91.779999,86.940002,89.930000,66.124802,9956500
2008-02-01,90.040001,90.809998,88.089996,90.760002,66.735100,6835000
2008-03-01,90.290001,92.589996,89.430000,91.690002,67.630272,9255200
2008-04-01,91.540001,91.540001,88.279999,89.169998,65.975060,11638300
2008-05-01,89.300003,89.370003,86.760002,87.309998,64.818718,8667600
2008-06-01,87.500000,88.199997,85.800003,88.000000,65.536774,7424200
2008-07-01,88.010002,89.099998,86.690002,88.339996,66.022171,7276300
2008-08-01,87.730003,89.650002,87.199997,89.379997,67.021790,6400900
2008-09-01,88.889999,92.639999,88.449997,88.959999,66.937149,10920900
2008-10-01,89.139999,91.320000,86.589996,87.889999,66.351067,12444000
2008-11-01,87.699997,95.699997,87.389999,94.360001,71.480576,8719700
2008-12-01,95.050003,100.309998,94.639999,98.529999,74.912209,10321900
2009-01-01,98.779999,99.220001,94.480003,94.699997,72.508392,8456300
2009-02-01,94.800003,96.220001,93.120003,93.739998,71.773346,7669900
2009-03-01,93.970001,97.680000,93.440002,96.589996,74.163849,10206000
2009-04-01,96.570000,96.720001,93.290001,93.669998,72.112549,6797800
2009-05-01,93.160004,93.860001,89.709999,91.449997,70.605240,9212800
2009-06-01,90.260002,91.089996,87.699997,90.669998,70.212914,18727000
2009-07-01,90.050003,92.349998,89.379997,91.169998,70.810722,10734900
2009-08-01,90.370003,91.699997,88.470001,91.599998,71.343025,10598900
2009-09-01,91.129997,92.489998,90.660004,92.370003,72.151627,12491900
2009-10-01,92.449997,93.230003,90.629997,91.989998,72.056961,13343100
2009-11-01,91.279999,93.120003,90.230003,93.059998,73.095337,8425500
2009-12-01,92.610001,92.660004,88.290001,88.599998,70.179596,10858800
2010-01-01,88.739998,90.809998,88.629997,90.699997,72.137131,10094200
2010-02-01,90.260002,91.000000,89.260002,90.699997,72.137131,8348700
2010-03-01,90.559998,90.779999,88.820000,89.500000,71.418999,8840600
2010-04-01,89.110001,90.730003,88.120003,90.720001,72.587791,7663200
2010-05-01,90.169998,94.209999,90.110001,93.099998,74.704903,20250500
2010-06-01,93.160004,95.669998,92.080002,95.669998,76.998871,14480100
2010-07-01,95.430000,96.410004,94.330002,96.290001,77.714890,14902600
2010-08-01,95.790001,99.660004,95.680000,99.260002,80.320183,18734900
2010-09-01,98.639999,99.500000,96.580002,99.010002,80.328934,22892700
